Name,Awards,Year,Region
"Ben-Nun, Tal",ACM Gordon Bell Prize,2019,Europe
"Bertino, Elisa",ACM Athena Lecturer Award,2019,North America
"Catmull, Edwin",ACM A. M. Turing Award,2019,North America
"Cerf, Vinton",ACM Presidential Award,2019,North America
"Choudhary, Keerti",ACM India Doctoral Dissertation Award,2019,Asia
"Data, Deepesh",ACM India Doctoral Dissertation Award,2019,Asia
"Dixit, Arati M",Outstanding Contribution to ACM Award,2019,North America
"Dongarra, Jack",SIAM/ACM Prize in Computational Science and Engineering,2019,North America
"Fernandez, Guillermo Indalecio",ACM Gordon Bell Prize,2019,Europe
"Fernando, Milinda Shayamal",ACM-IEEE CS George Michael Memorial HPC Fellowships,2019,Asia
"Fox, Geoffrey",ACM-IEEE CS Ken Kennedy Award,2019,North America
"Gibbons, Phillip B",ACM Paris Kanellakis Theory and Practice Award,2019,North America
"Hanrahan, Pat",ACM A. M. Turing Award,2019,North America
"Hill, Mark D.",ACM-IEEE CS Eckert-Mauchly Award,2019,North America
"Hoefler, Torsten",ACM Gordon Bell Prize,2019,Europe
"Kamei, Yasutaka",IPSJ/ACM Award for Early Career Contributions to Global Research,2019,Asia
"Kavraki, Lydia",ACM AAAI Allen Newell Award,2019,North America
"Koller, Daphne",ACM AAAI Allen Newell Award,2019,North America
"Ley, Michael",ACM Distinguished Service Award,2019,Europe
"Luisier, Mathieu",ACM Gordon Bell Prize,2019,Europe
"Matias, Yossi",ACM Paris Kanellakis Theory and Practice Award,2019,Europe
"Meng, Kevin",ACM/CSTA Cutler-Bell Prize in High School Computing,2019,North America
"Minzer, Dor",ACM Doctoral Dissertation Award,2019,North America
"Mockapetris, Paul",ACM Software System Award,2019,North America
"Petersen, Lilian",ACM/CSTA Cutler-Bell Prize in High School Computing,2019,North America
"Schneider, Timo",ACM Gordon Bell Prize,2019,Europe
"Silver, David",ACM Prize in Computing,2019,Europe
"Simons, Barbara B",ACM Policy Award,2019,North America
"Smith, Staci A.",ACM-IEEE CS George Michael Memorial HPC Fellowships,2019,North America
"Szegedy, Mario",ACM Paris Kanellakis Theory and Practice Award,2019,North America
"Tarnawski, Jakub",ACM Doctoral Dissertation Award,2019,Europe
"Toro-Vega, Axel S.",ACM/CSTA Cutler-Bell Prize in High School Computing,2019,North America
"Wu, Jiajun",ACM Doctoral Dissertation Award,2019,Asia
"Zhao, Zeyu",ACM/CSTA Cutler-Bell Prize in High School Computing,2019,North America
"Ziogas, Alexandros Nikolaos",ACM Gordon Bell Prize,2019,Europe
"Adve, Sarita",ACM-IEEE CS Ken Kennedy Award,2018,Asia
"Agarwal, Manoj",ACM India Doctoral Dissertation Award,2018,Asia
"Bahl, Victor",ACM Distinguished Service Award,2018,North America
"Balakrishnan, Meenakshi",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2018,Asia
"Beckett, Ryan",ACM Doctoral Dissertation Award,2018,North America
